,count,hate_speech,offensive_language,neither,class,tweet
0,3,0,0,3,2,rt woman complain clean hous amp man alway take trash out
1,3,0,3,0,1,rt boy dat cold tyga dwn bad cufin dat hoe st place
2,3,0,3,0,1,rt dawg rt ever fuck bitch start cri confus shit
3,3,0,2,1,1,rt lok like trani
4,6,0,6,0,1,rt shit hear might true might faker bitch told ya
5,3,1,2,0,1,quot shit blow claim faith somebodi stil fuck hoe face tear joy face tear joy face tear joy quot
6,3,0,3,0,1,quot sit hate anoth bitch got much shit go quot
7,3,0,3,0,1,caus tire big bitch come us skini girl
8,3,0,3,0,1,quot amp might get ya bitch back amp that quot
9,3,1,2,0,1,quot hobi includ fight mariam quot bitch
10,3,0,3,0,1,quot kek bitch curv everyon quot lol walk convers like smh
11,3,0,3,0,1,quot murda gang bitch gang land quot
12,3,0,2,1,1,quot hoe smoke loser quot yea go ig
13,3,0,3,0,1,quot bad bitch thing like quot
14,3,1,2,0,1,quot bitch get quot
15,3,0,3,0,1,quot bitch niga mis quot
16,3,0,3,0,1,quot bitch plz whatev quot
17,3,1,2,0,1,quot bitch love quot
18,3,0,3,0,1,quot bitch get cut everyday b quot
19,3,0,3,0,1,quot black botl amp bad bitch quot
20,3,0,3,0,1,quot broke bitch cant tel noth quot
21,3,0,3,0,1,quot cancel bitch like nino quot
22,3,0,3,0,1,quot cant se hoe wont chang quot
23,3,0,3,0,1,quot fuck bitch dont even suck dick quot face tear joy face tear joy face tear joy kermit video bout fuck ig up
24,3,0,3,0,1,quot got ya bitch tip toe hardwod flor quot face tear joy
25,3,0,2,1,1,quot pusi lip like heaven dor quot reliev face
26,3,0,3,0,1,quot hoe hite quot
27,3,0,3,0,1,quot met pusi ocean dr gave pusi pil quot reliev face
28,3,0,3,0,1,quot ned tripi bitch fuck henesi quot
29,3,0,3,0,1,quot spend money want bitch busin quot
30,3,0,3,0,1,quot txt old bitch new bitch pusi weter quot
31,3,0,3,0,1,quot would say im back old old bitch would get excit quot reliev face
32,3,0,3,0,1,quot aint bout murder game pusi niga shut quot
33,3,0,3,0,1,quot toe ai done pusi stink quot
34,3,0,3,0,1,quot im done biter bitch wrap angri bird there ap quot
35,3,0,3,0,1,quot ya bitch quot
